docket_number,date_argued,justice,sentiment_score,questions,interruptions,words_spoken,top_word,unigrams,caseName,petitioner_wins,justice_in_majority,voted_for_petitioner
18-1116,2019-12-04T00:00:00Z,JUSTICE GINSBURG,-1,5,5,192,actual,verrilli outer limit special shorter limit actual knowledge hard read word actual people read mailings read mailings investments laughter willful statute knowledge plainly prevail knowledge actual knowledge reading word actual statute relying court court appeals decisions actual knowledge means access information information courts held eighth circuit ninth circuit district courts circumstantial evidence,INTEL CORP. INVESTMENT POLICY COMMITTEE v. SULYMA,FALSE,TRUE,FALSE
18-1150,2019-12-02T00:00:00Z,CHIEF JUSTICE ROBERTS,1,2,1,67,additional,understand significance annotations references official weight cited court additional material included yang citron,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,TRUE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE THOMAS,,,,,,,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,FALSE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE BREYER,0.666666666666667,3,1,313,capacity,governmental difficult judge judicial capacity copyrightable legislator legislators legislative capacity copyrightable cares author public policy reasons existed forever law copyrightable executive harder separate basically sg's position official capacity simply summary comment official capacity copyrightable sworn public servant roughly sg's position read pretty consistent precedents position guess question position understand acceptable answer answer question abstractly explains bride copyright performative expression idea bring legislature laws words pieces paper performing function legislative function judicial function solely expression performing function monopolist ahold dangerous entire,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,FALSE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE ALITO,,7,3,155,annotations,ahead apply annotations official code apply annotations georgia bar theory distinguishes annotations annotations georgia bar insight intent legislature enacting provision law lot people involved drafting legislation proposed law professor distinguishes copyrightable wrote article distinguishes comments georgia bar,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,FALSE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE SOTOMAYOR,1,6,10,598,law,ahead reading understand court relied comments reasons attributable reasons giving commission prepares involved drafting law separated seeking copyright protection research comments annotations seeking question read wheaton wheaton prepared judge copyrighted includes headnotes comparable summaries included annotations prepared judge remands wheaton independent contractor independent contractor sought copyright banks separate entity hire requiring reviews approves setting merged document actual laws merger actual law headnotes actual law dicta actual law one's arguing arguing banks copyright headnotes prepares dicta judicial opinions authorship factor explain law reference comments reference reflect intent explanation official explanation law sort limits official sort unofficial approved legislature merged terms contract hire means treat employee law clerk prepares headnotes summaries copy copyright copyright hire understand colleagues clarify simple assume pro se guidelines pro se litigants follow law copyright charge preclude copying disseminating copyrightable committee reports failed legislation copyrightable materials prepared process copyrightable individual require create official guide official code annotations merge code prepared copyrightable,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,TRUE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE KAGAN,0.222222222222222,9,9,333,commission,georgia johnson georgia official annotated code official code yang finish sentence finish laughter glad finish stressed commission respect annotations suppose commission respect annotations write supervised process carefully imposed editorial standards commission count lawmaker legislature sets commission bunch commission hypothetical world commission takes job imposes editorial standards annotation people annotations pretty carefully guides law commission basically involved explain people law means copyrightable commission wrote annotations suppose true suppose commission supervised supervision looked annotations picked egregiously wrong terms interpreting law difference bit harder copyrightable commission incorrect interpretation law annotation legislature,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,TRUE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE GORSUCH,3.16666666666667,12,11,384,legislature,approved approved legislature understand posited question approved legislature include word official create reporter official law enacted legislature approved equivalent approved judge annotations official law hidden pay wall official annotations legislature fashion official approval arguing purely disavowed bind copyright's unavailable annotations category frequently courts indications legislature's intentions disavowing courts indications legislative intent representation court difference commission legislature describe judges adopted legislature word official market market power wise nice evasion answer question laughter grateful legislature reviewing judicial opinions collects enacts calls official official choose care copyrightable capacity legislative capacity abstract capacity legislature act,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,TRUE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE KAVANAUGH,4,3,4,49,banks,banks potentially gorsuch's hypothetical distinction banks callaghan words hypothetical win,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,TRUE,FALSE
18-1150,2019-12-02T00:00:00Z,JUSTICE GINSBURG,,2,0,72,judge,legislature judge judge imprimatur annotations copyrightable syllabus legislature treat judge legislature call authors hire hold copyright,GEORGIA v. PUBLIC.RESOURCE.ORG INC.,FALSE,FALSE,FALSE
18-1165,2019-11-06T00:00:00Z,CHIEF JUSTICE ROBERTS,,1,1,27,bonderoff,reference ellis bonderoff,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE THOMAS,,,,,,,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE BREYER,0.75,5,10,402,answer,government briefs addressing issue granted cert dealing called considerations relation securities laws class period plan net buyer stock answer answer complaint alleges wrong discussion yeah basis alleged alleged trustee net seller sufficient argue securities laws fiduciary disclose information drive price share granted cert reason stress reaction lot lot courts assume prudent trustee disclosed information market channels suggesting question special reason disclose disclosing hurt plan participants answer special matter disclose sooner court appeals disclosure inevitable allege inevitable allege loads information inevitable fast hurt plan criterion 3 satisfied sketched position roughly position narrow question granted win,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE ALITO,0,4,0,131,information,workable practical require insider fiduciary determine disclosure information inside information public time harm inherently workable standard reached position reached situation fiduciary complicated calculation doable participants net buy net buyers sellers situation future information inevitably,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE SOTOMAYOR,-2,9,13,529,disclosure,necessarily time investigation proper investigation time corrective measures reduce loss economic principle logical supported literature missing specifics answer economic principle exist matter jury trier battle competing experts entitled motion dismiss rely founded economic theory fiduciary duty sellers promote fraudulent conduct avoiding losses people contrary fiduciary securities law sellers sellers account avoid fraud effects fraud benefit logical holders experiencing potential buyers experiencing measure harmed delay wearing corporate hat esop charged exercising due diligence care fiduciary secure knowledge secure knowledge defines duty act define duty corporate hat disclosure obligated securities laws contrary government's position securities laws purport govern fiduciary duties cert read question harm pleading consideration bancorp satisfied generalized allegations harm inevitable discovery alleged fraud increases time imagine imagine disclosure meet standard missing understood securities law controls disclosure extent misleading fraudulent statement misleading fraudulent assume company statement alleged fraud inevitably caught caught disclosure suggesting situation duty fiduciary disclosure required sec,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE KAGAN,-2,0,1,105,balancing,sound sound scrap dudenhoeffer start factors service test reasonable fiduciary action harm called balancing test dudenhoeffer reasons balancing tests,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE GORSUCH,1.66666666666667,3,6,173,ehh,clement minute guess antecedent question understand deal devoted arguing liability leak metaphysical possibility understand encourage insider trustees provide special rules gained employees real account briefs honest congress idea underwrite shaking head ehh ehh costs yeah yeah esop,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE KAVANAUGH,0,4,1,196,bright,classes beneficiaries harmed helped earlier disclosure duty prudence violated circumstances close bright line exception newly plan close bright line wondering wiggle pretty bright line imagine circumstance classes beneficiaries claim earlier disclosures stock price drop road map agree discussed earlier pegram issue issues raised sotomayor's questions,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1165,2019-11-06T00:00:00Z,JUSTICE GINSBURG,-2,1,0,80,act,question theory aired focus harm standard insider duty disclose nonpublic information securities act securities act district court court appeals,RETIREMENT PLANS COMMITTEE OF IBM v. JANDER,FALSE,TRUE,FALSE
18-1171,2019-11-13T00:00:00Z,CHIEF JUSTICE ROBERTS,-1.75,0,1,153,animus,distinction fighting academic contract negotiation process steps steps racial excuse animus evident process continues day contract denied hard prove causation hand hard ignore step evident racial animus reasonable excuse allegation animus continued manifested stage process ms ratner chemerinsky,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE THOMAS,,,,,,,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE BREYER,0.666666666666667,3,8,379,person,stuck justice's question elaborating official understand questions question understand talking pleadings difference evidence evidence information belief defendant race improperly deny contract list cares motivating factor understand difference decide burden proof defendant burden proof mind plaintiff split production versus apparently arguing arguing complaint information official motivating factor motivating factor makes difference line eliminate motivating factor motivating factor condition consideration true consideration applicant white person official applicant black person statute treat white person black person alike reasoning difference stuck alike black person white person white person treated,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE ALITO,-0.333333333333333,4,8,344,burden,ahead estrada respondents agree burden substantive standard dispute issue question pled 12 6 iqbal twombly devolved issue portrayed disagreement evidence equipoise official happen equipoise burden production issue yeah preponderance question burden official yeah ninth circuit respondents argued recitation pages 3 5 respondents insufficient raise pled insufficient raise satisfy pleading standard burden persuasion causation comcast told entertainment studios channels official support field matter support field recitation makes difference pleading stage rare exist complaint refute,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE SOTOMAYOR,-0.444444444444444,6,10,577,contract,justice's initial forward race motivating factor defendant deposed discovery held issue trier motivating factor complaint racial animus reasonable inference drawn plaintiff suggesting required anticipate potentially independent reason knowing disproving complaint makes sense ninth circuit ninth circuit government admits complaint lens provided causation ninth circuit basic structure chemerinsky speak burdens accepting statute official language interpreted statute statute citizens talking performance execution contract civil rights law designed eliminate race discrimination square treated race formation contract denied contract reason people denied treated burdens expenses eh business true business plan accepted run circles expend lot money actionable dictionary dictionary definition process process entering contract words statute broader official eliminating vestiges discrimination motivating factor standard endorsing mcdonnell douglas burden shifting burden shifting burden remains plaintiff production defendant set reasons official address issue pleading stage grant question standard,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE KAGAN,-1,2,6,600,causation,estrada respondents continue prove causation bit confused guess chemerinsky reply page 47 49 respondents opposite suggest quoting circuit prove causation question allege official chemerinsky assume true plead excuse prove causation ultimate standard complaint pre discovery plaintiff defendant thinking contract decisions defendant plaintiff allege beginning yeah official assumption holds respondents prove ninth circuit wrong question complaint sufficient guess chemerinsky thinking essentially attempt shift burden official causation excuse estrada prove causation pre discovery people throwing baseless allegations complaint complaint found sufficient allege causation racist mark contracts lots white firms firm iqbal twombly official iqbal twombly title twombly thinking law mcdonnell douglas shifting prima facie swierkiewicz pleadings prime facie understand pleadings field iqbal twombly yeah law complaint survive 12 6 motion,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE GORSUCH,1.66666666666667,1,3,101,mental,estrada perfectly common alleging mental opposing party discovery allege official information belief mental simple solution faith positing kagan's statement factual circumstances lead inference plead mental,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE KAVANAUGH,1.33333333333333,2,3,66,agree,lot agree vacate remand resolve issue agree excuse agree unusual complaint paragraph paragraph allegation toss 12 6 stage,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1171,2019-11-13T00:00:00Z,JUSTICE GINSBURG,,,,,,,COMCAST CORP. v. NATIONAL ASSOCIATION OF AFRICAN AMERICAN-OWNED MEDIA,TRUE,TRUE,TRUE
18-1195,2020-01-22T00:00:00Z,CHIEF JUSTICE ROBERTS,-2,1,1,69,schools,wall injury flows schools money schools parents school comment unikowsky,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,TRUE,TRUE
18-1195,2020-01-22T00:00:00Z,JUSTICE THOMAS,,,,,,,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,TRUE,TRUE
18-1195,2020-01-22T00:00:00Z,JUSTICE BREYER,0.2,8,7,347,schools,trouble answer san francisco boston city millions dollars public school system lot lot money charter schools money catholic schools decide change talking scholarships talking billion dollars york spends public school system suspect spend money charter schools call 500 million repeating spend money catholic school system immoral constitution decide question decide money amounts proportionate parochial school private equal private equal public forget charter schools question hypothetical called public school system united talking response difference win public schools parochial schools difference,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,FALSE,FALSE
18-1195,2020-01-22T00:00:00Z,JUSTICE ALITO,1,1,1,57,unconstitutional,ahead yeah simple question decision village arlington heights constitutional unit government unconstitutional discriminatory reason unconstitutional,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,TRUE,TRUE
18-1195,2020-01-22T00:00:00Z,JUSTICE SOTOMAYOR,-0.470588235294118,15,14,876,constitution,recognized tax party taxpayer direct recipient taxes benefits taxes parents taxpayer schools receive money guaranteed receipt money told money applicants levels removed cite permitted removed party standing matter involving schools discriminate schools taxpayers taxpayers individuals feel affected discrimination standing people taxpayer recipient discrimination directly understanding standing taxpayer school receives money lot contingencies taxpayers 150 tax credit school pick picked past picked future level contingencies mention close school's intended beneficiary financial benefit taxpayer tax credit intent incentive taxpayer money incentives incentivize people money meaning taking position matter constitutional law montana supreme court constitutional provision unconstitutional forced money tax credits religious institutions secular institutions required money scholarships start constitutional constitution unconstitutional meaning constitutional montana's constitutional provision unconstitutional forced money secular religious schools secular religious families choose start proposition montana court law assume montana court unconstitutional federal constitution unconstitutional montana constitution unconstitutional assume assume unconstitutional federal constitution separately unconstitutional montana constitution program alive talking circumstances assume opinion written violates federal constitution violates montana constitution leveling level violate stopped federal violation discriminating school school violating colorado constitution court told federal constitution stop choosing aid wall claiming calling blaine amendments montana provision matter federal constitutional law constitutional constitutional provisions struck radical decision founding father madison lobbying heavily free exercise clause equally stop establishing religions public funds support founding fathers history people discriminatory reasons reasons related belief separation church position money religious institutions suggesting montana 1972 empty exercise looked history amendment odious admitted people voted bill 72 despicable history looked founding fathers writings looked montana's religious tolerance changed dramatically blaine amendment era decided james madison fathers constitution continue aid churches,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,FALSE,FALSE
18-1195,2020-01-22T00:00:00Z,JUSTICE KAGAN,-1.4,3,5,608,religious,komer ginsburg's question call standing mootness guess trouble harm strange posture describe harm parents suffering guess interrupt guess supreme court's ruling religious school secular private school boat understood kinds harm perceived alleged actual call discrimination discrimination led invalidation entire program related private secular schools private religious schools parents affected exact chose aid consistent constitutional amendment constitutional amendment sets restrictions funds result restrictions funds constitutional amendment set understood challenge constitutional amendment operated program result challenge happened parents send children religious schools parents send children secular schools treated sort grade line opinion opinion decision consequence world consequence decision discrimination set parents world constitutional harm allege discrimination discrimination wall wall trinity lutheran real difference trinity lutheran religious status people entities limit access unrelated public benefit completely secular public benefit respect educational programs subsidize religious activity subsidize religious education supreme court issued decision subsidize private education discrimination essentially reasons viewed legitimate shared viewed legitimate subsidize religious activity religious education cry trinity lutheran,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,FALSE,FALSE
18-1195,2020-01-22T00:00:00Z,JUSTICE GORSUCH,,,,,,,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,TRUE,TRUE
18-1195,2020-01-22T00:00:00Z,JUSTICE KAVANAUGH,,,,,,,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,TRUE,TRUE
18-1195,2020-01-22T00:00:00Z,JUSTICE GINSBURG,-1.66666666666667,3,3,229,tax,threshold questions article parents taxpayers taxpayers people contribute student scholarship organizations court held standing challenge else's tax status court's decision eastern kentucky close court injured hospitals providing providing services taxpayer complain tax treatment distinguish eastern kentucky challenging tax status situation credit 150 credit donors organizations credit tax deduction tax deduction uncapped assume money kitty credit removed tax deduction remains untouched wright allen eastern kentucky understand passes standing bar,ESPINOZA v. MONTANA DEPARTMENT OF REVENUE,TRUE,FALSE,FALSE
18-1233,2020-01-14T00:00:00Z,CHIEF JUSTICE ROBERTS,1.2,0,5,287,equity,"ms ms blatt lead phrase willful violation section 1125 willfulness 1125 includes willfulness willfulness gather willful violation label stick label willful violation sort exprecionias argue impact suggest strange equity includes profits sort split baby happy principle equity equity fair complicated legal basis response profits 100,000 50 50 yeah 4 million profits attributable question equity katyal",ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE THOMAS,,,,,,,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE BREYER,-0.916666666666667,17,15,863,profits,obvious answer missed reading statute suppose willfulness profits profits sentence 1117 court amount recovery based profits inadequate excessive court discretion enter judgment sum court circumstances willfulness china court plaintiff money sentence arguing willfulness suppose willfulness apply apply suppose win suppose produce instance china dah dah dah significant amount money judge read sentence judge willful agree giving reasons relief yeah read willful sentence total discretion damages fair hurt accepting discretion district court award money fair sentence matter appealing argued sentence read laughter fine read fast understand significance read willfulness terrible infringer totally accident totally accident dream symbol appeared knowing total accident bad trademark owned widows orphans terribly suffering people money goodness what'll happen appealing worried read willfulness sentence guess view willfulness requirement plaintiff entitled recover defendant's profits damages cost action subject principles equity equity held willfulness finished position position understand understand principles equity require notice sixth circuit word wrongful word write sentence principles equity require profits profits equitable profits purse 4 million infringer copy trademark tiny inside purse entitled profits 4 million people lured buying purse thinking entitled purse profits purses,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE ALITO,-0.5,2,0,68,cite,courts willfulness condition cite leading unjust result court award profits willfulness unjust based cite,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE SOTOMAYOR,0.6,4,2,70,equity,ms blatt concentrate word equity equity sustain award innocent faith infringement culpable mind wide swath behavior innocent faith willful reckless callous disregard equity consonance award negligence faith,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE KAGAN,1,1,0,110,willfulness,ms blatt pick position someplace katyal words katyal circumstances profits willfulness willfulness factor intermediate position based history sense willfulness absolute necessity entitled significant weight presumption,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE GORSUCH,,,,,,,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE KAVANAUGH,1,1,1,27,pre,pre pre lanham act pre pre lanham act yeah,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1233,2020-01-14T00:00:00Z,JUSTICE GINSBURG,-2,2,0,26,willfulness,willfulness defined jury found callous disregard willfulness judge charge terms meant,ROMAG FASTENERS INC. v. FOSSIL INC.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,CHIEF JUSTICE ROBERTS,,0,0,8,huston,huston,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE THOMAS,,,,,,,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE BREYER,0.5,6,10,393,law,taking account colorado law happened leave words ah read contract agreement taking account colorado law decide unambiguously tax refunds handled pages ambiguous rule written ambiguity decide favor bank subsidiary decide favor bank conclude construed favor bank fdic agreement read creating agency relation parent bank read colorado law create agency colorado law creates agency briefs page read pages read ah taking account colorado law creates agency relation wrong matter colorado law mistake colorado law guess answer question sitting front sitting denver laughter reach question federal common law matter guess study evaporated common sense talking bank subs parent tax refund reason tax refund bank lost money mail money reach issue,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE ALITO,,,,,,,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE SOTOMAYOR,0.25,13,8,494,law,excuse words opinion read opinion bob richards sets rule step bob richards contract interim ownership read opinion law trump contract allocation ownership answer question contract agent law change statement ahh fight's law requires addition overarching fight law law trumps contract agreement contract establish unambiguously law tenth circuit err contract determine parties consented agency relationship argued assume arguing bob richards rule court paying attention contract words opinion words write common law bob richards rule read opinion apply bob richards rule interim ownership question issue claiming misapplication colorado law solicitor stand test create common law rule prongs creating federal common law answer question briefed question assume circuit contract created agency debtor creditor situation write opinion contract apply agency debtor creditor law reach bob richards adversarial testing reach questions implicated issues,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE KAGAN,,0,2,162,contract,reich unambiguously statement rule contract analysis apply statement 10 pages contract analysis provisions hand provisions relying default provision contract nobody's idea statement sat opinion reich government intend defend bob richards rule appoint amicus,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE GORSUCH,,,,,,,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE KAVANAUGH,2,2,4,158,rule,view bob richards rule law send bob richards federal common law rule send law thumb scale provided bob richards rule guess sg's sg's suppose circuit split government benefits rule country manifestly indefensible suggests defending defensible,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1269,2019-12-03T00:00:00Z,JUSTICE GINSBURG,0,1,1,208,contract,proceed question bob richards government abandoned position tenth circuit hand opinion shot quotes contract tenth circuit examining parties agreement determine parent tenth circuit cited bob richards relying contract interpretation bob richards agree dispositive tenth circuit contract calls contract interpretation law contract interpretation question vanished adversarial confrontation issue decide abstract question disembodied actual controversy parties question irrelevant defending rule,RODRIGUEZ v. FEDERAL DEPOSIT INSURANCE CORP.,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,CHIEF JUSTICE ROBERTS,,0,0,8,guarnieri,guarnieri,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,JUSTICE THOMAS,,,,,,,NASRALLAH v. BARR,TRUE,FALSE,FALSE
18-1432,2020-03-02T00:00:00Z,JUSTICE BREYER,-1,0,1,41,1321,difficult explain 1321 zipper clause review,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,JUSTICE ALITO,-1.33333333333333,8,2,550,final,agree language zipper clause comparison language zipper clause language criminal alien bar zipper clause questions law arising action proceeding brought remove alien united subchapter judicial review final section complicated answers question pretty meaning statutory language zipper clause statutes complicated understand fit zipper clause embodiment sort rule applies ordinary civil litigation respect review final decision district court appeal final decision district court permits review leading final decision zipper clause arises proceeding reviewable review final removal preliminary decisions earlier decisions lead final removal approach provision dealing nature petition file 1252 petition file 1252 denominated petition review final removal petition review 1252 1252 agree requirements petition including requirements subpart subsection apply subsection sets requirements petition review final removal time expires government answer putting question waiver eleventh circuit's holding criminal alien bar applies ground removal 1227 2 ii wrong reason issue question held criminal alien bar applies alien committed crime moral turpitude fall 1182 2 basis criminal alien bar,NASRALLAH v. BARR,TRUE,FALSE,FALSE
18-1432,2020-03-02T00:00:00Z,JUSTICE SOTOMAYOR,1,9,8,214,withholding,statutory withholding comparable withholding issue 4 5 encompass statutory withholding necessarily encompass statutory withholding agree interpretation court zipper clause supposed definition removal affect actual barred factual review barred cancellation removal affect act briefs remember else's list situations jurisdiction understood briefs 4 independent jurisdiction 4 independent jurisdiction exist statutory withholding similar situations removal understand,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,JUSTICE KAGAN,,,,,,,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,JUSTICE GORSUCH,,,,,,,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,JUSTICE KAVANAUGH,1,5,7,86,cancellation,common parlance ahead agree review cancellation removal context cancellation removal denial cancellation removal factual factual components address government's reliance foti decision carry forward language foti,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1432,2020-03-02T00:00:00Z,JUSTICE GINSBURG,2,0,1,17,agree,agree agree assuming review,NASRALLAH v. BARR,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,CHIEF JUSTICE ROBERTS,-1.33333333333333,1,2,58,excuse,excuse hard investors money suppose secretly finish sentence stewart,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,JUSTICE THOMAS,,,,,,,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,FALSE,FALSE
18-1501,2020-03-03T00:00:00Z,JUSTICE BREYER,-8,3,1,55,deduct,leases machinery printout fraudulent stuff deduct fliers invest fraudulent gold company equivalent thereof deduct legitimate,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,JUSTICE ALITO,-2.66666666666667,3,0,87,congress,disgorgement disgorgement interpreted broadly courts suppose limited net profits suppose effort return money victims fraud fall traditional form equitable relief realistic assume congress term equitable relief congress meant incorporate curlicue equity jurisprudence,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,JUSTICE SOTOMAYOR,-1.25,3,1,195,net,fraud granted answer statute entitles court equitable relief benefit investors provide ancillary jurisdiction manner spoken assuming stated accounting net profits actual people injured recognize multitude questions joint liability recovery net profits people tippees putting simple straightforward net profits investors injured administrative process laws disgorgement referenced disgorgement statute undefined common law,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,JUSTICE KAGAN,0,4,1,238,investors,rapawy congress acted backdrop raise qualifications talking disgorgement remedy entail basic understanding counted line equitable powers reasonable read statute suppose reject broad focus question issue net profits issue constraints question giving money investors raised issue identifiable equitable principle money investors investors faith efforts diligent efforts words net profits rule similar question sec view deduct,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,JUSTICE GORSUCH,-1,3,4,137,equity,equity paralleled class action practice police efforts defendant return money investors defrauded left people found money supply ready guide impermissible government effort police assuming reject primary equity traditional principles equity drawn understand,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
18-1501,2020-03-03T00:00:00Z,JUSTICE KAVANAUGH,-1.4,2,5,96,net,agree alito's conditions net profits returned victims limited net profits returned victims necessarily yeah wrong isolate answer,LIU v. SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,TRUE
